,BR,HW,L4,LN,NP,O2,T3
,MC,MC,MC,MC,MC,MC,MC
Date,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3
1/14/2009 15:00,,7.6,26.6,36.8,29.6,26.3,16.5
1/14/2009 16:00,,17.5,26.8,32.8,31.8,35.8,19.2
1/14/2009 17:00,,16,29.8,29.7,29.8,39.6,24.3
1/14/2009 18:00,,12.9,33.9,28.3,33.6,38.2,16.2
1/14/2009 19:00,,17.4,37.6,32.5,35.7,42.9,5.7
1/14/2009 20:00,,20,35.5,40.5,39,45.2,7.7
1/14/2009 21:00,,25.5,36.6,37.8,46.5,49.5,12
1/14/2009 22:00,,31.7,40.6,35.5,50.8,40.5,12
1/14/2009 23:00,,16.2,39.5,25.7,38.6,28.7,11.2
1/15/2009 0:00,,18.5,36.9,23.8,42.3,25.1,10.7
1/15/2009 1:00,,21.6,35,28.2,31.7,23.4,11.3
1/15/2009 2:00,,19.5,33.8,25.5,33.8,17.9,11.9
1/15/2009 3:00,,33.7,32.4,27.1,42.9,14.3,7.7
1/15/2009 4:00,,23,33.3,23.8,36.2,13.9,10.3
1/15/2009 5:00,,8.7,31.3,19.2,31.8,16.8,13.2
1/15/2009 6:00,,27.1,33.6,20.5,32.2,19.3,12.3
1/15/2009 7:00,,28.3,36.8,26.6,37,19.2,15.1
1/15/2009 8:00,,18.3,36.1,28,32.9,19.9,21.2
1/15/2009 9:00,,25,37.3,36.4,42.1,16.2,14.4
1/15/2009 10:00,,32.5,37.1,44.5,29.2,17.6,14.1
1/15/2009 11:00,,32.8,39.1,49.3,20.2,19.1,14.7
1/15/2009 12:00,,34.5,31.8,47.4,24.9,17.7,19.2
1/15/2009 13:00,,34.9,32,42.3,24.8,19.4,18.8
1/15/2009 14:00,,17.4,38,38.6,27.3,26.4,26.1
1/15/2009 15:00,,25.5,34.7,37.5,30.3,26.8,25
1/15/2009 16:00,,37.9,36.7,37.7,32.7,24.7,30.6
1/15/2009 17:00,,32.1,38.5,39.2,34.5,28.6,44.5
1/15/2009 18:00,,22,35,37.9,37.1,30.9,52.4
1/15/2009 19:00,,39.9,39.3,42.7,41.5,33.8,48.9
1/15/2009 20:00,,52.5,39.7,41.4,43.5,36.9,36.2
1/15/2009 21:00,,34.8,42.5,51.9,43,36.1,21.6
1/15/2009 22:00,,39.5,43.5,50.1,43.4,35.8,25.9
1/15/2009 23:00,,36.6,43.3,43.8,49,29.7,18.6
1/16/2009 0:00,,44.9,41.4,37.5,43.1,25,15.5
1/16/2009 1:00,,36.3,44.7,37.4,43.1,25.4,10.8
1/16/2009 2:00,,33.6,42.4,36.7,51.6,24.8,9.6
1/16/2009 3:00,,25.4,41.5,35,46.2,22.5,10.3
1/16/2009 4:00,,25.5,40.3,34.1,40.4,18.9,11.6
1/16/2009 5:00,,29.2,40.2,32.8,43,21.3,15.2
1/16/2009 6:00,,15.9,38.8,37.2,39.4,23.4,37.7
1/16/2009 7:00,,21,42,37.9,43.2,26.5,16.7
1/16/2009 8:00,,10.3,42.7,37.4,48.3,26,23.7
1/16/2009 9:00,,24.9,43.9,48.8,51,22.7,22.1
1/16/2009 10:00,,32.2,48.6,52,36.5,26.1,15.6
1/16/2009 11:00,,39.3,41.6,63.2,27.1,22.2,20.9
1/16/2009 12:00,,42.6,39.5,67.1,30.9,21.5,26.9
1/16/2009 13:00,,38.5,43.1,62.9,34.8,22.3,23.3
1/16/2009 14:00,,25,37.5,52.9,36,35.1,28.9
1/16/2009 15:00,,25.3,35.6,49.2,39.1,36.7,42.5
1/16/2009 16:00,,39.9,37,46.9,38.7,35.4,49.1
1/16/2009 17:00,,35.8,39.5,47.4,38.7,35.9,51.7
1/16/2009 18:00,,49.7,39.9,44.1,48.9,33.2,54.2
1/16/2009 19:00,,63.1,41.1,37.1,48.6,32.5,48.6
1/16/2009 20:00,,58.2,40.2,49,44.7,35.9,30.3
1/16/2009 21:00,,54.1,39.4,46.3,41.3,34.9,27.4
1/16/2009 22:00,,45.3,42.2,52,49.8,38.9,23
1/16/2009 23:00,,38.2,45.1,49.3,54.8,43.6,22.5
1/17/2009 0:00,,39.9,48.5,46.8,61.2,40.2,21.5
1/17/2009 1:00,,40.2,43.2,42.8,47.9,37.7,20.5
1/17/2009 2:00,,38,44.2,39.1,54.4,32.5,19.6
1/17/2009 3:00,,28.8,42.8,41.3,44.3,29,21.1
1/17/2009 4:00,,15.8,40.6,35.7,47.6,28.7,30.5
